LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:5178bc,но наша семья ходит\nтуда поколениями,but our family has been going\nthere for generations,,Original,AuntChat
line:67dceb,угу,yup,,Player,AuntChat
line:e2d813,"там на вершине горячие источники,\nа от них идут восходящие потоки",the hot springs at the peak\ncreate these amazing updrafts,,Original,AuntChat
line:40798a,и когда ты взлетаешь...\nневероятное чувство,the feeling of flying up there\nis incredible,,Original,AuntChat
line:f124e6,но,but,,Player,AuntChat
line:a1168c,разве это,isn't it,,Player,AuntChat
line:c8cb65,не опасно?,kind of dangerous?,,Player,AuntChat
line:65f725,не то чтобы,not really,,Original,AuntChat
line:2dc6ae,ты — точно справишься!,it'll be no problem for you!,,Original,AuntChat
line:a9b82f,хм,hmm,,Player,AuntChat
line:0acd94,так кто должен тебе позвонить?,so what kind of call\nare you waiting for?,Only if the player continues to talk to the Aunt.,Player,AuntChat
line:e495d6,о... ну,oh.. um,,Player,AuntChat
line:e1eca7,ты знаешь...,you know...,,Player,AuntChat
line:fe9497,...,...,,Player,AuntChat
line:39e326,то самое,the thing,,Player,AuntChat
line:a48a7c,...,...,,Original,AuntChat
line:9c8c35,ааа! прости,ohhh! i'm sorry,,Original,AuntChat
line:4d933a,я забыла,i forgot,,Original,AuntChat
line:04095c,"дорогая, не волнуйся",don't worry about it dear,,Original,AuntChat
line:0c7e66,всё пройдёт как надо,i'm sure it'll all work\nout fine,,Original,AuntChat
line:69afd0,я вот что думаю,i think,,Original,AuntChat
line:e13932,тебе надо хорошенько проветриться!,a nice hike will help you\ntake your mind off it,,Original,AuntChat
line:109615,"ах, какой замечательный день",ahh sure is a nice day,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:923d86,люблю я это место,"i love it here, you know?",,Original,AuntChat
line:2640d9,"да, тут хорошо","yeah, it's nice",,Player,AuntChat
line:797bbe,хотя в городе тоже неплохо!,the city's pretty good\ntoo though!,,Player,AuntChat
line:a96f99,там крутые праздники,it's got cool events,,Player,AuntChat
line:af8fd9,вкусная еда,great food,,Player,AuntChat
line:ba2c5e,а ещё,and also,,Player,AuntChat
line:2eade3,там ловит связь!,cellphone reception!,,Player,AuntChat
line:c73cbb,"вообще-то, у нас тоже\nскоро будет связь!","we'll get reception too\nsoon, ya know!",,Original,AuntChat
line:89c559,уже новую вышку строят,they're building a new\nradio tower,,Original,AuntChat
line:49e489,о-о,oh,,Player,AuntChat
line:6b6e0e,будет здорово,that'll be nice,,Player,AuntChat
line:d4c9d3,"ах, тут так хорошо","ahh, it's so lovely here",Only if the player continues to talk to the Aunt.,Player,AuntChat
line:223ea1,я могу сидеть тут весь день,i could sit here all day,,Player,AuntChat
line:de9d91,и буду,and i will,,Player,AuntChat
line:b7a7b0,КЛЭР!,CLAIRE!,,Original,KidStart
line:c4bfc9,ты знала...,did you know...,,Original,KidStart
line:89c5de,"что если <color=red>на бегу зажать {{JumpButton}},</color>\nто начнёшь парить в воздухе?!?",you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,,Original,KidStart
line:63f4be,конечно!,of course!,,Player,KidStart
line:bc1f77,это все знают,everyone knows that,,Player,KidStart
line:59da5d,почему ты спрашиваешь?,why do you ask?,,Player,KidStart
line:11dc70,не знаю,i dunno,,Original,KidStart
line:8d1f3a,"почему-то показалось,\nчто тебе пригодится",i just had a feeling\nyou might want to know,,Original,KidStart
line:5f1cb6,эм,um,,Player,KidStart
line:9857a1,окей,ok,,Player,KidStart
line:6b0d0c,постой,"wait, uh",Only if the player continues to talk.,Player,KidStart
line:2c740b,"ещё раз, как парить?",how do i glide again?,,Player,KidStart
line:a5b030,"<color=red>зажми {{JumpButton}} на бегу,</color> балбеска!",you <color=red>hold {{JumpButton}} while running</color> dummy!,,Original,KidStart
line:131a7c,"отлично, просто проверяла твою память",cool just making sure\nyou haven't forgotten,,Player,KidStart
line:975e5c,я ничего не забываю!,i never forget anything!,,Original,KidStart
line:845d4e,я гений,i'm a genius,,Original,KidStart
line:32fa08,"хорошо, последний раз",ok one last time,Only if the player continues to talk.,Player,KidStart
line:b08a47,как там было?,what was that thing you said?,,Player,KidStart
line:703f8a,<color=red>{{JumpButton}} НА БЕГУ И ЛЕТИШЬ!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,,Original,KidStart
line:5746d5,"ага, спасибо",ok thanks,,Player,KidStart
line:509a8c,"серьёзно, самый последний раз",seriously just one last time,,Player,KidStart
line:1a38b1,ЗАЖМИ,HOLD,Only if the player continues to talk.,Original,KidStart
line:77a928,{{JumpButton}},{{JumpButton}},,Original,KidStart
line:f7a6f2,ЧТОБЫ,TO,,Original,KidStart
line:193b8b,ПАРИТЬ!!!!,GLIDE!!!!,,Original,KidStart
line:abcac6,"теперь не забуду, обещаю",ok i promise i won't forget,,Player,KidStart
line:ff18cb,можно ещё ра-,just one more-,Only if the player continues to talk.,Player,KidStart
line:e27b74,НЕТ!,NO!,,Original,KidStart
line:81083b,НЕЕЕЕТ!,NOOOO!,,Original,KidStart
line:9ab14d,НЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕТ!,NOOOOOOOOOOOOOOOOOOO!,,Original,KidStart
line:767e99,НИКАКИХ ЕЩЁ!!!!,NO MORE!!!!,,Original,KidStart
line:29cac4,ЭЙ ТЫ,HEY YOU,,Original,OtherKidStart
line:17a485,НАЙДИ МНЕ 15 РАКУШЕК!,FIND ME 15 SHELLS!,,Original,OtherKidStart
line:c5ecea,чего? зачем?,what! why?,,Player,OtherKidStart
line:e4e484,я хочу,i want em,,Original,OtherKidStart
line:88d371,"да, но зачем","yeah, but why",,Player,OtherKidStart
line:7a437e,это секрет!,it's a secret!,,Original,OtherKidStart
line:a889a8,"хе, ладно","heh, ok",,Player,OtherKidStart
line:ad9058,я посмотрю,i'll keep an eye out,,Player,OtherKidStart
line:875ed5,"СМОТРИ В ОБА, пожалуйста","keep BOTH eyes out, please!",,Original,OtherKidStart
line:feb9a5,"эй, вот твои ракушки","hey, i got your shells",If the player returns with the shells.,Player,OtherKidStart
line:051e4c,ооооо!,ooooo!,,Original,OtherKidStart
line:c72422,забираю!,i'll take em!,,Original,OtherKidStart
line:e1241c,и что теперь,so now what,,Player,OtherKidStart
line:3e628d,что,what,,Original,OtherKidStart
line:831bce,в смысле,i mean,,Player,OtherKidStart
line:147c2e,ну,uh,,Player,OtherKidStart
line:1b9367,мне что-то будет?,do i get anything,,Player,OtherKidStart
line:2fde5e,нет!,no!,,Original,OtherKidStart
line:05680a,"господи, даже спасибо не скажешь?","geez, not even a thank you?",,Player,OtherKidStart
line:16ea80,это некрасиво,that's not very nice,,Player,OtherKidStart
line:bae3c7,"я делаю всё, чтобы выжить!",i do what it takes to survive!,,Original,OtherKidStart
line:648a49,и я тебе ничего не обещала,i never promised you anything,,Original,OtherKidStart
line:caf7cc,...,...,,Player,OtherKidStart
line:8e0304,"вообще,",actually,,Original,OtherKidStart
line:9d6eff,есть у меня для тебя кое-что,i do have something for you,,Original,OtherKidStart
line:4d16a1,новая работа,a new job,,Original,OtherKidStart
line:921eeb,у меня уже есть работа,i already have a job,,Player,OtherKidStart
line:4ab932,тогда это будет подработка,well make this your side gig,,Original,OtherKidStart
line:1054b1,а если я не возьмусь,what if i don't take it,,Player,OtherKidStart
line:5ac191,тебе же хуже!,it's your loss!,,Original,OtherKidStart
line:2f60fc,хорошую работу трудно найти,good jobs are hard to find,,Original,OtherKidStart
line:0c16fe,...,...,,Original,OtherKidStart
line:c46b69,так что ты решила?,so what will it be?,Jumps to ConsiderKidQuest.,Original,OtherKidStart
line:21d908,а что ты собираешься\nделать с ракушками?,so what's the deal with the shells?,If the player talks to them again.,Player,OtherKidStart
line:414248,не твоё дело!,it's none of your business!,,Original,OtherKidStart
line:14cf86,,except,,Original,OtherKidStart
line:dfc345,твоё дело — собрать мне 15 штук,for the business of you\ngetting me 15 of them,,Original,OtherKidStart
line:2e35f7,ракушек уже {{Item_Shell}}!,i got {{Item_Shell}} shells so far!,If the player talks to them again with some shells.,Player,OtherKidStart
line:0e8aeb,"эй, можно вопрос",hey can i ask you\na quick question,,Original,OtherKidStart
line:0a19d0,конечно,sure,,Player,OtherKidStart
line:8a7060,{{Item_Shell}} — это больше или меньше 15,is {{Item_Shell}} more or less than 15,,Original,OtherKidStart
line:02f9ee,"ну,","uh,",,Player,OtherKidStart
line:e8e0b5,меньше?,less?,,Player,OtherKidStart
line:588d2f,да,yeah,,Original,OtherKidStart
line:4b7c40,меньше,it is,,Original,OtherKidStart
line:53148f,если не принесла заказ...,if you don't have the goods...,,Original,OtherKidStart
line:96850b,...то не трать моё время!,...then don't waste my time!,,Original,OtherKidStart
line:b94465,"господи, ладно!",okay geez!,,Player,OtherKidStart
line:961fbd,что тут сказать,what can i say,,Original,OtherKidStart
line:974e98,я хороший руководитель,i run a tight ship,,Original,OtherKidStart
line:e38563,хмм,hmmm,,Original,FoxStart
line:b29d15,я собиралась подняться\nна <color=red>Ястребиный пик</color>,i was planning on hiking\nto <color=red>Hawk Peak</color>,,Original,FoxStart
line:7ba030,но вдруг тропа стала очень крутой,but the path suddenly got really steep,,Original,FoxStart
line:83c6cd,"как думаешь, тут вообще\nможно забраться?",do you think it's climbable?,,Player,FoxStart
line:bb9ad1,"будь у меня <color=red>золотое перо,</color>\nя бы смогла","well, it would be if i had\na <color=red>golden feather</color>",,Original,FoxStart
line:c5407a,их вроде продают\nв <color=red>Туристическом центре</color>,apparently they sell them\nat the <color=red>Visitor Center</color>,,Original,FoxStart
line:4cacb9,а как работают <color=red>золотые перья</color>?,"so, how do <color=red>golden feathers</color> work?",If the player talks to them again.,Player,FoxStart
line:37e9e6,"ну, когда у тебя лежит\nтакое в кармане","well, when you've got\none in your pocket",,Original,FoxStart
line:477585,ты как будто становишься легче,you'll feel much lighter,,Original,FoxStart
line:3bbcd0,и легче лазаешь по скалам!,that makes it easier to\nclimb up cliffs!,,Original,FoxStart
line:e82492,вау,woah,,Player,FoxStart
line:5dd075,круто,that's pretty cool,,Player,FoxStart
line:9d3ba7,ещё бы!,it is indeed!,,Original,FoxStart
line:2c9d43,а зачем ты поднимаешься на гору?,so why are you going to Hawk Peak?,If the player talks to them again.,Player,FoxStart
line:cf58a9,хочу пофотографировать\nприроду на вершине,i'm going to take some great\nnature shots from the top,,Original,FoxStart
line:f9074d,не то чтобы я фотограф...,i wouldn't call myself a photographer but...,,Original,FoxStart
line:02b8b9,просто интересное хобби,it's just a fun hobby,,Original,FoxStart
line:bf4b14,я тоже поднимаюсь!,i'm going there too!,,Player,FoxStart
line:fd2045,правда?,oh yeah?,,Original,FoxStart
line:6e4c47,"я слышала, это долгий поход",i heard it's a long hike,,Original,FoxStart
line:34b8e9,"всё-таки долгий, да?","it is, eh?",,Player,FoxStart
line:ed5d70,моя тётя всегда такая:,my aunt's always like,,Player,FoxStart
line:215373,«это просто небольшая прогулка!»,"""it's just a short hike away!""",,Player,FoxStart
line:fb4e3a,но она просто помешана на походах,but she's a total outdoors geek,,Player,FoxStart
line:8c7a1f,поэтому,so,,Player,FoxStart
line:b7e9d9,"мне кажется, она не замечает,\nкак это тяжело",i think she underestimates it,,Player,FoxStart
line:7ba994,соглашусь,i'd say so,,Original,FoxStart
line:726a9c,если доберёмся вместе,if we make it up at the same time,If the player talks to them again.,Player,FoxStart
line:4286c4,тебе придётся меня сфоткать!,you'll have to get my picture!,,Player,FoxStart
line:4a5a70,хороший план!,sounds like a plan!,,Original,FoxStart
line:b69196,договорились!,see ya there!,,Player,FoxStart
line:d8da86,мне малость неловко,this is a little\nbit embarrassing,Only if the Artist is painting the Goat Ranger.,Original,VisitorCenterStart
line:b49975,вряд ли я особо фотогеничный,i don't think i'm\nvery photogenic,,Original,VisitorCenterStart
line:790618,но я рад помочь\nему с творчеством!,but i'm glad i can\nhelp with his art!,,Original,VisitorCenterStart
line:773c2e,и всё же,anyway,,Original,VisitorCenterStart
line:7cc3e6,шляпа что надо!,lookin' sharp in that hat!,Only if the player is wearing the Ranger Hat.,Original,VisitorCenterStart
line:9076cd,день добрый!,howdy!,,Original,VisitorCenterStart
line:40a49b,что у тебя?,what's up?,,Original,VisitorCenterStart
line:663e36,могу я купить <color=red>золотое перо?</color>,can I buy a <color=red>golden feather?</color>,Dialogue choice.,Player,VisitorCenterStart
line:7c01cd,что за мерч вы продаёте?,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:c822cd,ничего особенного,nothing much,Dialogue choice.,Player,VisitorCenterStart
line:a7d95e,ага,yup,"If the player says ""nothing much.""",Original,VisitorCenterStart
line:e6c071,так и живём,that's how it goes,,Original,VisitorCenterStart
line:d2ce1b,чем могу помочь?,how can i help you?,"The first time the player talks to the Goat Ranger, having heard of Golden Feathers.",Original,VisitorCenterStart
line:21f53d,"я слышала, вы продаёте\n<color=red>золотые перья</color>",i heard you sell <color=red>\ngolden feathers</color> here,,Player,VisitorCenterStart
line:2c9feb,"ага, продаём!","ah, we do!",,Original,VisitorCenterStart
line:65be46,одно стоит 40 монет,you can buy one\nfor 40 coins,,Original,VisitorCenterStart
line:bc4372,беру!,i'll take it!,Dialogue choice.,Player,VisitorCenterStart
line:893486,а что ещё вы продаёте?,what else do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:5274f3,мне пока не надо,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:505bd5,ещё продаём мерч провинциального парка,we also sell provincial\npark merchandise,In response to the player saying bye.,Original,VisitorCenterStart
line:d739f6,"ладно, береги себя","alrighty, take care",,Original,VisitorCenterStart
line:bc241f,"хм,","um,","The first time the player talks to the Goat Ranger, NOT having heard of Golden Feathers.",Original,VisitorCenterStart
line:27d375,не знаю,i dunno,,Original,VisitorCenterStart
line:6295ae,"кажется, всё в порядке",i guess i'm fine,,Original,VisitorCenterStart
line:f627f3,хорошо!,alrighty!,,Original,VisitorCenterStart
line:9149a2,"дай знать, если надо будет что-то подсказать\nили захочется что-то купить",let me know if you need directions\nor want to buy anything,,Original,VisitorCenterStart
line:8051f6,"о, а что вы продаёте?","oh, what are you selling?",,Player,VisitorCenterStart
line:f74cad,"например, мерч провинциального парка","well, we have provincial\npark merch",,Original,VisitorCenterStart
line:03b0f8,и всякие походные принадлежности\nвроде <color=red>золотых перьев</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,,Original,VisitorCenterStart
line:4996e6,что за перья?,what are those?,,Player,VisitorCenterStart
line:da421d,крутое название,they sound cool,,Player,VisitorCenterStart
line:f56321,они и на деле крутые!,they are cool!,,Original,VisitorCenterStart
line:fd1b15,с ними легче лазать по скалам,they make rock climbing easier,,Original,VisitorCenterStart
line:852b3a,а в твоём случае,and in your case,,Original,VisitorCenterStart
line:0f4a0c,ещё и летать,will also help you fly,,Original,VisitorCenterStart
line:a936ff,!!,!!,,Player,VisitorCenterStart
line:24358e,одно такое стоит 40 монет,you can buy one for 40 coins,,Original,VisitorCenterStart
line:b56114,беру!!,i'll take it!!,Dialogue choice.,Player,VisitorCenterStart
line:5294c3,а что за мерч вы продаёте?,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:68907f,мне пока не надо,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:c2141d,"хорошо, береги себя","alrighty, take care",,Original,VisitorCenterStart
line:590cdd,"вообще-то, мы всё распродали","actually, we're all sold out",If the player tries to buy feathers but they're sold out.,Original,BuyFeatherStart
line:811e78,до тебя приходил <color=red>паренёк.</color> он\nодин купил почти все перья,<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,The boy is highlighted because it hints you'll find him later.,Original,BuyFeatherStart
line:a6297a,"в поход, наверно, собрался!",he must be going\non some hike!,,Original,BuyFeatherStart
line:8cdf8a,"конечно, держи!","sure, here ya go!",If the player buys a feather from them.,Original,BuyFeatherStart
line:069cfe,больше перьев у нас нет,that's actually all\nthe feathers we have,After the player buys the last feather.,Original,BuyFeatherStart
line:4e8558,до тебя приходил <color=red>паренёк.</color> он\nскупил почти всё,<color=red>a boy</color> came by earlier\nand bought most our\nremaining stock,,Original,BuyFeatherStart
line:d958fc,придётся поискать\nв другом месте,you'll have to find\nmore elsewhere,,Original,BuyFeatherStart
line:5fda34,извиняй!,sorry!,,Original,BuyFeatherStart
line:522b92,конечно! с тебя 40 монет,sure! that'll be 40 coins,"If the player tries to buy, but doesn't have money.",Original,BuyFeatherStart
line:bf6622,"ой, погодите",oh wait,,Player,BuyFeatherStart
line:e93615,мне не хватает,i don't have enough money,,Player,BuyFeatherStart
line:f011d1,...,...,,Player,BuyFeatherStart
line:f9fe9a,пока что!,yet!,,Player,BuyFeatherStart
line:df579f,ой,oh,The next time the player doesn't have enough money.,Player,BuyFeatherStart
line:1cb666,совсем забыла,yeah i forgot,,Player,BuyFeatherStart
line:8cc5ff,мне всё ещё нужно найти\nпобольше денег,i still need to find more cash,,Player,BuyFeatherStart
line:16706a,"<sprite name=""UpArrow"" tint=1> Туристический центр\n<sprite tint=1 name=""LeftArrow""> Ястребиная тропа","<sprite name=""UpArrow"" tint=1> Visitor Center\n<sprite tint=1 name=""LeftArrow""> Hawk Peak Trail",This is a sign.,Original,VistorCenterCrossroadsStart
line:81143b,"Пляж Сид <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Место Ширли","Sid Beach <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Shirley's Point",,Original,VistorCenterCrossroadsStart
line:eb7a43,"<sprite name=""UpArrow"" tint=1> Тропа «Тёмный лес»\n<sprite name=""LeftArrow"" tint=1> Ястребиная тропа","<sprite name=""UpArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Hawk Peak Trail",,Original,KioskSignStart
line:1024d7,"<sprite name=""DownArrow"" tint=1> Туристический центр\nТропа вдоль Белого берега <sprite name=""RightArrow"" tint=1>","<sprite name=""DownArrow"" tint=1> Visitor Center\nWhite Beach Trail <sprite name=""RightArrow"" tint=1>",,Original,KioskSignStart
line:4957ee,"<sprite name=""UpArrow"" tint=1> Ястребиная тропа\n<sprite name=""UpArrow"" tint=1> Тропа «Бурный ручей»","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,HawkPeakRiverSignStart
line:628d3d,"<sprite name=""LeftArrow"" tint=1> Королевский хребет\nТропа «Тёмный лес» <sprite name=""RightArrow"" tint=1>","<sprite name=""LeftArrow"" tint=1> Royal Ridge\nBlackwood Trail <sprite name=""RightArrow"" tint=1>",,Original,HawkPeakRiverSignStart
line:326ae7,"<sprite name=""UpArrow"" tint=1> Ястребиная тропа\n<sprite name=""UpArrow"" tint=1> Тропа «Бурный ручей»","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,RoyalRidgeSignStart
line:ede0b0,"<sprite name=""DownArrow"" tint=1> Тропа «Тёмный лес»\n<sprite name=""LeftArrow"" tint=1> Королевский хребет","<sprite name=""DownArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Royal Ridge",,Original,RoyalRidgeSignStart
line:b2763c,"<sprite name=""UpArrow"" tint=1> Ястребиная тропа\n<sprite name=""DownArrow"" tint=1> Тропа «Бурный ручей»\nОзеро Метеоров <sprite name=""RightArrow"" tint=1>","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""DownArrow"" tint=1> Good Creek Path\nMeteor Lake <sprite name=""RightArrow"" tint=1>",,Original,FireTowerSnowSignStart
line:e9a55c,"<sprite name=""UpArrow"" tint=1> Ястребиная тропа","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail",,Original,HawkPeakSignStart
line:4da2e1,"Чтобы пройти этот маршрут, нужно иметь\nпри себе хотя бы <color=yellow>7 золотых перьев.</color>",At least <color=yellow>7 Golden Feathers</color> are\nrequired to complete this hike.,,Original,HawkPeakSignStart
line:12ab30,Начинающим ходокам рекомендуется\nбрать больше.,Novice hikers should consider using more.,,Original,HawkPeakSignStart
line:8368eb,"<sprite tint=1 name=""Warning""> СОВЕТ ХОДОКАМ <sprite tint=1 name=""Warning"">","<sprite tint=1 name=""Warning""> HIKING TIP <sprite tint=1 name=""Warning"">",,Original,HawkPeakSignStart
line:4188b8,"когда карабкаешься, устаёшь\nменьше, чем когда летаешь!",climbing uses less stamina than flying!,,Original,HawkPeakSignStart
line:06e25d,"чтобы карабкаться, подойдите\nк стене и зажмите {{JumpButton}}","to climb, push against a wall and hold {{JumpButton}}",,Original,HawkPeakSignStart
line:369fc3,"<sprite name=""LeftArrow"" tint=1> Вид на озеро Метеоров <sprite name=""RightArrow"" tint=1>\n<sprite name=""LeftArrow"" tint=1> Ястребиная тропа\n<sprite name=""DownArrow"" tint=1> Тропа «Тёмный лес»","<sprite name=""LeftArrow"" tint=1> Meteor Lake Overlook <sprite name=""RightArrow"" tint=1>\n<sprite name=""LeftArrow"" tint=1> Hawk Peak Trail\n<sprite name=""DownArrow"" tint=1> Blackwood Trail",,Original,MeteorLakeSignStart
line:e9e473,"<sprite name=""LeftArrow"" tint=1> Вид на озеро Метеоров <sprite name=""RightArrow"" tint=1>\n<sprite name=""DownArrow"" tint=1> Ястребиная тропа","<sprite name=""LeftArrow"" tint=1> Meteor Lake Overlook <sprite name=""RightArrow"" tint=1>\n<sprite name=""DownArrow"" tint=1> Hawk Peak Trail",,Original,MeteorLakeLeftSignStart
