LineCode,LineText
line:4286c4,тебе придётся меня сфоткать!
line:4a5a70,замётано!
line:b69196,увидимся наверху!
line:d8da86,мне малость неловко
line:b49975,вряд ли я особо фотогеничный
line:790618,"но я рад, что могу помочь\nс этой картиной!"
line:773c2e,и всё же
line:7cc3e6,а шляпа-то тебе как раз!
line:9076cd,день добрый!
line:40a49b,могу чем-то помочь?
line:663e36,я хочу купить <color=red>золотое перо</color>
line:7c01cd,какие сувениры вы продаёте?
line:c822cd,"пока не надо, спасибо"
line:a7d95e,ага
line:e6c071,"забегай, если что"
line:d2ce1b,чем могу помочь?
line:21f53d,"я слышала, вы продаёте\n<color=red>золотые перья</color>"
line:2c9feb,"ага, продаём!"
line:65be46,40 монет за штуку
line:bc4372,беру!
line:893486,а что ещё вы продаёте?
line:5274f3,мне пока не надо
line:505bd5,ещё продаём сувениры
line:d739f6,"ладушки, береги себя"
line:bc241f,эм
line:27d375,не знаю
line:6295ae,вроде всё в порядке
line:f627f3,ладушки!
line:9149a2,"дай знать, если помощь нужна будет\nили купить что захочется"
line:8051f6,"о, а что вы продаёте?"
line:f74cad,"ну, у нас есть сувениры"
line:03b0f8,и всякие походные принадлежности\nвроде <color=red>золотых перьев</color>
line:4996e6,что за перья?
line:da421d,звучит как что-то крутое
line:f56321,они и на деле крутые!
line:fd1b15,с ними легче лазать по скалам
line:852b3a,а в твоём случае
line:0f4a0c,ещё и летать
line:a936ff,!!!
line:24358e,стоит 40 монет
line:b56114,беру!!!
line:5294c3,а что за сувениры?
line:68907f,мне пока не надо
line:c2141d,"ладушки, береги себя"
line:590cdd,"вообще-то, мы всё распродали"
line:811e78,до тебя приходил <color=red>паренёк.</color>\nон один купил почти все перья
line:a6297a,"в поход, наверно, собрался!"
line:8cdf8a,"конечно, вот!"
line:069cfe,больше перьев у нас нет
line:4e8558,до тебя приходил <color=red>паренёк.</color>\nон скупил почти всё
line:d958fc,придётся поискать\nв другом месте
line:5fda34,уж прости!
line:522b92,конечно! с тебя 40 монет
line:bf6622,"ой, стойте"
line:e93615,мне не хватает
line:f011d1,...
line:f9fe9a,пока что!
line:df579f,ой
line:1cb666,я забыла
line:8cc5ff,надо ещё деньжат найти
line:16706a,"<sprite name=""UpArrow"" tint=1> Туристический центр\n<sprite tint=1 name=""LeftArrow""> Тропа «Ястребиный пик»"
line:81143b,"Пляж Сида <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Мыс Ширли"
line:eb7a43,"<sprite name=""UpArrow"" tint=1> Тропа «Чернолесье»\n<sprite name=""LeftArrow"" tint=1> Тропа «Ястребиный пик»"
line:1024d7,"<sprite name=""DownArrow"" tint=1> Туристический центр\nТропа «Белый берег» <sprite name=""RightArrow"" tint=1>"
line:4957ee,"<sprite name=""UpArrow"" tint=1> Тропа «Ястребиный пик»\n<sprite name=""UpArrow"" tint=1> Тропа «Бурный ручей»"
line:628d3d,"<sprite name=""LeftArrow"" tint=1> Королевский хребет\nТропа «Чернолесье» <sprite name=""RightArrow"" tint=1>"
line:326ae7,"<sprite name=""UpArrow"" tint=1> Тропа «Ястребиный пик»\n<sprite name=""UpArrow"" tint=1> Тропа «Бурный ручей»"
line:ede0b0,"<sprite name=""DownArrow"" tint=1> Тропа «Чернолесье»\n<sprite name=""LeftArrow"" tint=1> Королевский хребет"
line:b2763c,"<sprite name=""UpArrow"" tint=1> Тропа «Ястребиный пик»\n<sprite name=""DownArrow"" tint=1> Тропа «Бурный ручей»\nМетеоритное озеро <sprite name=""RightArrow"" tint=1>"
line:e9a55c,"<sprite name=""UpArrow"" tint=1> Тропа «Ястребиный пик»"
line:4da2e1,"Чтобы пройти этот маршрут, нужно иметь\nпри себе хотя бы <color=yellow>7 золотых перьев.</color>"
line:12ab30,Начинающим скалолазам рекомендуется\nбрать больше.
line:8368eb,"<sprite tint=1 name=""Warning""> СОВЕТ СКАЛОЛАЗАМ <sprite tint=1 name=""Warning"">"
line:4188b8,"когда карабкаешься, устаёшь\nменьше, чем когда летаешь!"
line:06e25d,"чтобы карабкаться, подойдите\nк стене и зажмите {{JumpButton}}"
line:369fc3,"Спуск к Метеоритному озеру <sprite name=""UpArrow"" tint=1>\n<sprite name=""LeftArrow"" tint=1> Тропа «Ястребиный пик»\n<sprite name=""DownArrow"" tint=1> Тропа «Чернолесье»"
line:e9e473,"<sprite name=""UpArrow"" tint=1> Спуск к Метеоритному озеру\n<sprite name=""DownArrow"" tint=1> Тропа «Ястребиный пик»"
line:8e47b8,"привет, Клэр!"
line:7e2d19,как денёк?
line:3b05a7,ну
line:81a9fb,только вот из дома выбралась
line:d5b624,а-а-а
line:ef8af4,и встала не с той ноги
line:42c449,ага...
line:a6f8f9,утром я типа
line:977278,ушла в себя
line:b18566,хм
line:8a30c4,"то есть, ты..."
line:f10c07,"...чувствуешь себя потерянной и не знаешь,\nв каком направлении двигаться дальше?"
line:055150,ну
line:031c7b,пожалуй
line:a5d39a,ха!
line:f293a6,"я знаю, что тебе нужно!"
line:1c70ff,держи
line:0dc524,чтобы его использовать
line:344cd9,<color=red>нажми {{MenuButton}}</color> и открой инвентарь
line:671a7f,а затем выбери компас\nв <color=red>меню предметов</color>
line:586ba8,"о, эм"
line:78bc2f,спасибо
line:f67f9f,должно пригодиться
line:4eb391,удачного похода!
line:b848c9,"подскажи ещё раз, как\nмне достать компас?"
line:da694d,"просто <color=red>нажми {{MenuButton}},</color> чтобы\n<color=red>открыть инвентарь</color>"
line:1cf7a2,и выбери его в\n<color=red>меню предметов</color>
line:00e277,"а, точно"
line:c6adcc,спасибо!
line:dc7149,спасибо тебе за компас
line:10a2da,я его верну после похода
line:b883c4,да не
line:b29652,оставь себе
line:062d5d,как говорится...
line:6bb6e1,"север на компасе один, а вот\nдороги к нему грязные!"
line:612a85,э-э
line:e1b0be,разве так говорят?
line:0b1c04,"вообще, я точно не знаю"
line:40ba46,но
line:918947,севера-то точно не два!
line:a8b5f9,Добро пожаловать в природный\nпарк «Ястребиный пик»!
line:692bdd,Насладитесь живописной дорогой\nк смотровой площадке или\nподнимитесь по <color=yellow>Ястребиной тропе</color>\nна самую высокую точку округи!
line:b1e575,"Хотя этот остров знаменит\nсвоей горной вершиной,"
line:b107d7,на нём есть прекрасные\nпляжи и рощи!
line:a83a22,А вы знали?
line:fcd4a8,"Знаменитое блюдо\n«Клубника с тостом»\nизобретено ЗДЕСЬ,\nна Ястребином пике!"
line:ad24ec,"Присоединяйтесь к нам в пять вечера,\nчтобы насладиться вкуснейшей\nпорцией исторического блюда!"
line:e688e0,у нас почти ничего не осталось
line:a7cf46,но это даже хорошо
line:20178a,"значит, был оживлённый сезон!"
line:66f7eb,"природные парки,\nдолжно быть, в моде"
line:33c393,"да, возможно!"
line:d29584,как бы там ни было
line:cf8544,у нас осталась всего одна шляпа
line:9178cb,стоит 100 монет
line:158b88,беру!
line:87ad79,"не, я пас"
line:ec5216,почему бы тебе её не примерить?
line:c96132,"хм, у тебя совсем не осталось денег..."
line:fb4cd6,как насчёт золотого\nпера в подарок?
line:d29351,ох
line:41e1d2,не думаю...
line:e04b2d,что ты можешь себе это позволить
line:bb012f,ой
line:a0e28c,верно
line:d1acff,ну ладно!
line:3e75b5,больше ничего нет!
line:ff23f2,ты купила последнюю шляпу
line:976599,а вы ещё закажете?
line:44a915,не раньше следующего сезона
line:10e2e7,в каждом сезоне — свой\nограниченный тираж
line:1154fb,"значит, мне повезло\n с этой шляпой!"
line:cd0ade,"ха-ха, это точно!"
line:a2c392,"позволь, я объясню, как\nими пользоваться!"
line:be6485,"нажми <color=red>{{JumpButton}}</color> в полёте, и ты\nвзмахнёшь крыльями.\nтакой вот двойной прыжок!"
line:ef3fcb,но это не всё!
line:c6d6ba,"чтобы забраться на стену,\nподойди к ней и <color=red>удерживай {{JumpButton}}</color>"
line:4577c7,"чем больше у тебя золотых\nперьев, тем дольше ты\nбудешь карабкаться и летать"
line:a6796e,развлекайся!
line:bb7420,привет!
line:2d4461,как тебе маршрут?
line:366ec1,"о, ну"
line:591331,мне нравится
line:a69641,здесь и правда красиво
line:75795e,а то!
line:dcdf46,но сверху вид будет...
line:e5ee40,ПРОСТО
line:e3110d,ОТПАД!!!
line:74b492,ты тоже поднимаешься\nна <color=red>Ястребиный пик</color>?!
line:562b58,"о, нет"
line:d97d0c,это для меня слишком сложно
line:f55ea7,...
line:41bad1,я только до смотровой площадки
line:456d6f,ты там будешь?
line:bef5f5,"да, встретимся наверху!"
line:66d427,"ну, может быть"
line:88e0af,здорово!
line:f6e445,буду ждать!
line:10254b,"ладно, ещё увидимся!"
line:d68d22,я опять к площадке поднимаюсь
line:be5ef3,неплохая тренировка получается!
line:ae00f9,увидимся!
line:4f2346,«Бурный ручей» — очень живописная тропа
line:632631,давным давно она ответвлялась\nна хребет Харборда
line:0f34a2,"но ту тропинку размыло\nливнем, и указатели убрали"
line:55a2ef,какой прекрасный день!
line:66b8b5,привет!
line:2fd1f2,как тебе маршрут?
line:1120be,"о, ну"
line:a23900,мне нравится
line:4eb4ce,здесь и правда красиво
line:4235b1,а то!
line:45d8a8,наверху такой вид был... 
line:0ded11,ПРОСТО
line:ce0874,ОТПАД!!!
line:9c2490,а ты с <color=red>Ястребиного пика</color>\nчто ли идёшь?!
line:e8cea1,"о, нет"
line:39b4ec,это для меня слишком сложно
line:4587d1,...
line:c40345,я только до смотровой\nплощадки хожу
line:ebbebf,сейчас вот ещё круг сделаю
line:5b64a7,"не хочу хвастать, но"
line:8a6f60,скорости мне не занимать
line:413a40,"может, скоро опять увидимся!"
line:6b2c09,"да, встретимся наверху!"
line:1b843f,"ну, может быть"
line:cf9a29,здорово!
line:879d6e,буду ждать!
line:e3cd9c,"ладно, ещё увидимся!"
line:57905d,да-а-а
line:665f1b,вот бы мне тут жить
line:cff274,"всё представляю, как я тут\nгуляю каждый день..."
line:35527c,никогда бы не надоело!
line:cfec4b,можно устроиться работать в парк!
line:fd152d,как моя тётя: она тут всё лето живёт
line:7f4368,*вздох*
line:e74b7a,хотелось бы
line:f5ed00,но я не могу просто взять\nи бросить город
line:97619f,почему бы и нет?
line:1fd66e,"да, понимаю"
line:762691,"конечно, будет нелегко, но"
line:b61c4e,"может, оно того стоит"
line:d1f04e,"ха, наверно..."
line:d27b91,"может, когда-нибудь!"
line:07768a,"и тебе придётся оставить, ну..."
line:97475a,своих друзей
line:af85ff,свой дом
line:33cdc0,свою работу...
line:7764fb,"да, было бы тяжело"
line:22d165,"ну ладно, я дальше пойду!"
line:7e0585,ещё увидимся!
line:4f2bc3,приве-е-ет!
line:b15c74,как раз иду со смотровой площадки
line:4c2206,тебя там вроде не было
line:eace63,упс!
line:62fa4b,но ты всё равно туда зайди
line:239198,вид — потрясающий
line:0de906,а я ещё несколько кругов сделаю
line:f7fa28,надо поднажать!
line:f3b062,да-а-а
line:8608c5,вот это тут ветер!
line:df1b47,обожаю такое
line:4c0455,"здесь я понимаю, что значит..."
line:b99060,счастье
line:3bd9e4,точно
line:7ec259,тут хорошо
line:0ce335,привет!
line:75ec5c,"здорово, что ты пришла"
line:10d7e4,вот согласись
line:4ec50c,невероятное же место?
line:b4d915,не то слово!
line:f2e1a1,ну норм
line:a2534c,вот!
line:25b162,ветер прямо в лицо дует
line:4ddcb4,хорошо так...
line:35a271,просто НОРМ?!
line:897458,да ты оглянись!
line:b7f3ce,как ЭТО может быть\nпросто норм?!
line:39c3b6,весь остров...
line:d3e4ae,как на ладони!
line:6bfe40,здорово тут!
line:9bcc69,...
line:103872,"надо было взять что-нибудь\nпожевать, конечно"
line:c0fc37,раз уж ты на вершине
line:d98ad8,то как без перекуса-то?!
line:173358,
line:1e9600,Какую карту посмотреть?
line:e51de7,В её тени
line:9a1ae1,Королевский трон
line:5bb1cf,Сокровища Сида
line:d96274,здесь говорится...
line:fdf2d8,"Тебя ждут дома: убедись,\nЧто виден проблеск маяка"
line:a3b13c,"Тебя ждут дома: торопись,\nВедь дочь смотрителя — одна"
line:99cda9,"Морское дело — на всю жизнь,\nЕго бросать никак нельзя"
line:970b49,"Но клад твою любовь хранит,\nГде гаснет тень от маяка"
line:6a17f8,
line:185fed,это я уже нашла!
line:96a1ad,туристический центр отсюда\nсовсем крошечный!
line:88b430,хе-хе
line:8a6425,"о, и кстати!"
line:3999a2,держи
line:22f5dc,"похоже, на пляже Сида\nзарыто какое-то сокровище"
line:289fee,"мне не повезло, но, может,\nу тебя получится!"
line:6df84f,ну что
line:8b23e4,ты передумала и\nПРИПОЛЗЛА обратно?
line:acd876,как идёт доставка?
line:8bab11,я работаю над этим
line:fe4551,явно недостаточно усердно
line:b52bf2,как говорят мои источники
line:d985f3,ты доставила заказ
line:6b9dca,твои источники не врут
line:d4254f,...
line:241579,так что насчёт платы?
line:87b222,"ладно, ладно"
line:ea3c5c,на
line:cee2d4,...
line:8b081d,наслаждайся своими ракушками
line:e00588,как дела?
line:24a68b,как и десять ракушек назад
line:602c59,хм
line:23b2bf,"эй, пташка"
line:90ce75,золотых перьев купить не хочешь?
line:76bd02,"да, давай"
line:f3133d,"не, обойдусь"
line:db76a0,"хех, круто"
line:f4eec9,цена — 100 монет за перо
line:fea20f,...но
line:8be3b9,"это же почти в три раза дороже,\nчем в туристическом центре!"
line:b6d16a,так покупай тогда там
line:cb8a78,но
line:71146a,там всё кончилось!
line:215221,хех
line:b10f86,"да, не везёт тебе"
line:498089,...
line:32649d,а может и куплю!
line:78d68c,...
line:e79884,"ладно, как хочешь"
line:5303e7,привет
line:4e66f4,что у тебя?
line:6a5ae2,можно купить перо?
line:92eaee,до скорого
line:eaeb24,вот же... ты все перья скупила
line:2ff1f5,и чего ты их тут перепродаёшь?
line:c094ee,до скорого
line:f01405,дать тебе деньги на обучение?
line:053d25,до скорого
line:d9dd5e,как дела?
line:1bff1a,до скорого
line:af914d,...так ты будешь брать\nперья или нет?
line:c82875,допустим
line:df0fda,не-а!
line:385a65,и чего ты их тут перепродаёшь?
line:71fb21,дать тебе деньги на обучение?
line:2887d6,как дела?
line:66b166,хех
line:a8cb2d,"ладно, гони монеты"
line:ac38da,чао
line:358cb1,эм
line:9281af,так у тебя нет 100 монет
line:96351a,...
line:ae3666,скидок не жди
line:ffc758,за сервис надо платить!
line:4773e7,сейчас {{Time}}
line:e9a17a,здесь говорится...
line:687188,К югу от башни старой\nЗа мостиком на реке
line:4a4ba8,Трон стоит обветшалый\nНа Королевском хребте
line:2315c9,это я уже нашла!
line:da94ef,здесь говорится...
line:554d84,Я спрятал клад от всех зверей\nПеском его укрыло
line:7165cf,Он меж замшелых двух камней\nЛежит на пляже Сида
line:e74a50,это я уже нашла!
line:380436,тише едешь
line:919e94,дальше
line:ba4ba9,не будешь
line:cd416b,вот мы и встретились!
line:38c79a,привет!
line:60dc80,мы почти на вершине...
line:b62814,но
line:02ff37,"кажется, мост рухнул"
line:d6397b,...
line:1b116a,"может, есть <color=red>другой путь</color> наверх?.."
line:e2a2f5,или
line:dc526c,легче будет просто найти\nпобольше золотых перьев?
line:eea8f5,блин
line:ec7a9d,я так хочу пофоткать на вершине...
line:38ba05,"даже не знаю, что теперь делать"
line:af56ff,...
line:8887af,говорят
line:e2cf23,раньше был маршрут вдоль\nтеневого склона горы
line:899970,но
line:cc9db2,его закрыли давным-давно
line:b20bd2,"интересно, там ещё\nможно пройти?"
line:c08238,если отыщешь путь наверх
line:b831d9,"расскажешь мне, ладно?"
line:bc247c,конечно!
line:932396,я вернусь за тобой
line:a3773d,сегодня на Метеоритном озере\nбудет марафон!
line:46507b,конкуренция в этом году нешуточная!
line:582366,мой племянник тоже участвует
line:a5c85c,всё утро готовился
line:e2275b,если увидишь его
line:ff486e,"проверь, делает ли он перерывы!"
line:c6b196,"и скажи ещё, чтобы\nпил больше воды!"
line:3e2b7d,а то будет обезвоживание!
line:e0de25,тут ходят кое-какие слухи
line:a70ba4,ты любишь слухи?
line:a6bbd0,балуюсь иногда
line:b7af78,"окей, слушай"
line:5b466b,Джим недавно купил\nметаллоискатель
line:2de9cb,и носился с ним вчера\nпо всему острову
line:47eead,искал что-то
line:f610c5,прям помешался на этом!
line:328d7a,неужели тут везде\nчто-то зарыто?!
line:bc4834,и что это может быть?
line:7b23af,без понятия
line:cb9371,что-то металлическое?
line:2374ec,"и самое главное, у Джима\nведь нет <color=red>лопаты</color>"
line:58caf1,так что...
line:fd26dc,он не смог ничего выкопать
line:2fb782,"значит, хочешь ещё слух?"
line:9af4a9,"конечно, почему нет?"
line:9a8e19,Дебора недавно была на\nсмотровой площадке
line:f7c5cc,она посмотрела в бинокль
line:cbb413,и увидела...
line:a4c81c,ТАИНСТВЕННЫЙ ОСТРОВ
line:353e7d,как таинственно!!!
line:7781fd,так ты хочешь ещё слух?
line:d96cbb,хочу
line:fe272d,а у меня больше нет
line:3a1dd5,"что ж, ладно"
line:95505d,о да
line:1a8c04,с этой штукой я горы сверну!
line:5e04ad,поболтаем позже
line:5d36db,а сейчас у меня куча работы
line:f4121f,"эй, посмотри, какую лопату я нашла"
line:1bc8fc,как раз твой размер
line:1bf15e,"привет, чувак"
line:9e26ee,чего делаешь?
line:0dcad0,да знаешь!
line:456ef9,просто балдею на пляже
line:91fe35,строю замки из песка\nи всё такое
line:f7a787,хорошо проводишь время
line:2d4144,это точно
line:b4e558,можно взять твою лопату?
line:41aac2,ещё увидимся
line:d68cec,"прости, подруга"
line:7f7e58,она мне нужна строить замки
line:043a03,а она не велика для этого?
line:3d0e29,"да, но"
line:f0910a,лопаты все такие
line:6faeaa,ты бы мог взять лопату поменьше
line:4aac4b,как раз для песочных замков
line:49299e,чё-ё-ё?
line:286be3,так не бывает
line:0ad3b3,так вот же!
line:479942,посмотри
line:0782a1,но если покажешь хоть одну
line:fafd82,буду рад поменяться
line:996361,если найдёшь мне лопату поудобней
line:ab9fa7,можем обсудить обмен
line:2f89a6,не скучай!
line:cd4f15,мой песочный замок теперь\nчасть песочного города!
line:b9884b,и кстати
line:212896,я участвую в выборах на пост\nмэра. тут ЖАРКАЯ борьба!
line:98996e,"ой, подожди..."
line:2d62a8,результаты только что пришли!
line:980c18,!!!
line:d5569e,"так, хорошо, хорошо"
line:c83615,сейчас подсчитаю
line:5f5ab3,...
line:afa212,ТРЕТЬЕ МЕСТО?!
line:854dfd,да как та-а-ак!
line:4b0021,я построил этот город!
line:b7b7e3,"жалко, что ты проиграл"
line:9db94d,тяжёлая была гонка
line:a34d21,но всё нормально
line:6d4cd5,я выбил себе место\nв городском совете
line:42e074,хм-м
line:8a0950,эм
line:ce3b30,да?
line:b5c025,эта повязка...
line:7347fa,ой!
line:9c5e91,точно
line:0d9622,"вот, я нашла это"
line:ca6f2a,ты ещё не нашла\nмою повязку?
line:4aa411,ну
line:d16266,я нашла это...
line:3598c9,эх...
line:526327,как же быть!..
line:ac78dd,привет!
line:14465a,ПРИВЕ-ЕТ!!!
line:20f3db,"эм, у тебя всё хорошо?"
line:04c38d,ох!
line:622b29,не совсем...
line:15e552,у меня сегодня марафон
line:c4af1f,а я потеряла свою\nсчастливую повязку!!!
line:3e1f3c,"на каждый забег её\nнадевала, и вот тебе!"
line:0c18ad,я...
line:1c4bea,я же не смогу без неё
line:14481a,где ты её потеряла?
line:3e80d4,где-то в Чернолесье
line:aa27b9,...
line:3c03ee,скорее всего...
line:ddb376,давай поищу?
line:40eef8,правда?!
line:ea60ac,поможешь просто так?
line:ffac2a,конечно!
line:9171bb,!!!
